AME AGARU;PAYS DE LA LOIRE
CERCLE PAUL BERT;BRETAGNE
CHANTEPIE;BRETAGNE
DOJO NANTAIS;PAYS DE LA LOIRE
JJKH;PAYS DE LA LOIRE
JKCF;PAYS DE LA LOIRE
KC BREST;BRETAGNE
KCSB;BRETAGNE
KETSUGO;PAYS DE LA LOIRE
KICNIORT;POITOU CHARENTES
PLDLORIENT;BRETAGNE
POITIERS;POITOU CHARENTES
QUIBERON;BRETAGNE
QUIMPER;BRETAGNE
SAINT NAZAIRE;BRETAGNE
SAMOURAI 2000;PAYS DE LA LOIRE
SHODOKAN;PAYS DE LA LOIRE
ST NAZAIRE;BRETAGNE
